Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33594,410.08,410.25,0.17,14.2,14.3,0.0,-0.1,-0.0,-0.0,2482,3511,0,9,-11
1,0.19,33594,410.08,410.25,0.17,14.3,14.3,0.0,0.0,-0.0,-0.0,2482,3506,0,9,-11
2,0.35,33594,410.08,410.25,0.17,14.3,14.3,0.0,0.0,-0.0,-0.0,2482,3506,0,9,-11
3,0.52,33592,410.06,410.25,0.20,16.4,16.4,0.0,0.1,-0.0,-0.0,2457,3478,0,9,-13
4,0.68,33594,410.08,410.25,0.17,14.3,14.3,0.0,0.0,-0.1,-0.0,2482,3506,0,9,-11
5,0.77,33596,410.11,410.25,0.15,12.1,12.3,0.0,-0.1,-0.1,-0.0,2507,3534,0,8,-9
6,0.93,33596,410.11,410.25,0.15,12.0,12.3,0.0,-0.2,-0.1,-0.0,2507,3537,0,8,-9
7,1.09,33597,410.12,410.25,0.13,11.1,11.2,0.0,-0.1,-0.1,-0.0,2519,3546,0,7,-8
8,1.25,33597,410.12,410.25,0.13,10.9,11.2,0.0,-0.2,-0.1,-0.0,2519,3549,0,7,-8
9,1.33,33596,410.11,410.25,0.13,11.0,11.2,0.0,-0.1,-0.1,-0.0,2507,3534,0,7,-8
10,1.49,33593,410.07,410.25,0.17,14.3,14.3,0.0,0.1,-0.1,-0.0,2469,3489,0,8,-11
11,1.66,33594,410.08,410.25,0.16,13.2,13.3,0.0,0.1,-0.2,-0.0,2482,3501,0,8,-10
12,1.82,33596,410.11,410.25,0.13,11.1,11.2,0.0,0.0,-0.2,-0.0,2507,3529,0,7,-8
13,1.91,33598,410.13,410.25,0.11,8.9,9.2,0.0,-0.1,-0.2,-0.0,2532,3558,0,6,-6
14,2.07,33598,410.13,410.24,0.11,8.8,9.2,0.0,-0.2,-0.2,-0.0,2532,3562,0,6,-6
15,2.23,33596,410.11,410.24,0.13,10.9,11.2,0.0,-0.1,-0.2,-0.0,2507,3535,0,7,-8
16,2.39,33597,410.12,410.24,0.12,9.9,10.2,0.0,-0.1,-0.2,-0.0,2519,3548,0,6,-7
17,2.48,33600,410.16,410.24,0.09,6.7,7.2,0.0,-0.2,-0.2,-0.0,2557,3587,0,5,-5
18,2.64,33596,410.11,410.24,0.13,11.1,11.2,0.0,0.1,-0.2,-0.0,2507,3528,0,7,-8
19,2.81,33597,410.12,410.24,0.12,9.9,10.2,0.0,-0.0,-0.3,-0.0,2519,3544,0,6,-7
20,2.89,33598,410.13,410.24,0.11,8.8,9.2,0.0,-0.1,-0.3,-0.0,2532,3559,0,6,-6
21,3.06,33598,410.13,410.24,0.11,8.9,9.2,0.0,-0.0,-0.3,-0.0,2532,3557,0,6,-6
22,3.21,33596,410.11,410.24,0.13,11.1,11.2,0.0,0.2,-0.3,-0.0,2507,3525,0,7,-8
23,3.38,33595,410.10,410.24,0.13,11.0,11.2,0.0,0.0,-0.3,-0.0,2494,3517,0,7,-8
24,3.54,33595,410.10,410.23,0.13,11.0,11.2,0.0,0.1,-0.3,-0.0,2494,3513,0,7,-8
25,3.62,33595,410.10,410.23,0.13,11.0,11.2,0.0,0.1,-0.3,-0.0,2494,3513,0,7,-8
26,3.78,33595,410.10,410.23,0.13,11.0,11.2,0.0,0.0,-0.3,-0.0,2494,3515,0,7,-8
27,3.94,33594,410.08,410.23,0.15,12.0,12.3,0.0,0.0,-0.4,-0.0,2482,3503,0,7,-9
28,4.10,33594,410.08,410.23,0.15,12.0,12.3,0.0,0.0,-0.3,-0.0,2482,3505,0,7,-9
29,4.18,33593,410.07,410.23,0.16,13.0,13.3,0.0,0.1,-0.4,-0.0,2469,3490,0,8,-10
30,4.36,33590,410.03,410.23,0.20,16.2,16.4,0.0,0.2,-0.4,-0.0,2432,3448,0,9,-13
31,4.52,33593,410.07,410.22,0.16,12.9,13.3,0.0,0.0,-0.4,-0.0,2469,3491,0,8,-10
32,4.61,33593,410.07,410.22,0.15,11.8,12.3,0.0,0.0,-0.4,-0.0,2469,3491,0,7,-9
33,4.78,33591,410.05,410.22,0.17,14.0,14.3,0.0,0.1,-0.4,-0.0,2444,3464,0,8,-11
34,4.94,33591,410.05,410.22,0.17,13.8,14.3,0.0,-0.1,-0.4,-0.0,2444,3469,0,8,-11
35,5.10,33591,410.05,410.22,0.17,13.8,14.3,0.0,-0.0,-0.5,-0.0,2444,3468,0,8,-11
36,5.19,33591,410.05,410.22,0.17,13.9,14.3,0.0,0.0,-0.5,-0.0,2444,3465,0,8,-11
37,5.35,33591,410.05,410.21,0.17,13.9,14.3,0.0,0.1,-0.5,-0.0,2444,3465,0,8,-11
38,5.51,33589,410.02,410.21,0.20,15.9,16.4,0.0,0.1,-0.5,-0.0,2419,3440,0,8,-13
39,5.68,33589,410.02,410.21,0.18,14.9,15.3,0.0,0.1,-0.5,-0.0,2419,3438,0,8,-12
