Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33595,410.10,410.25,0.16,17.7,17.7,0.0,0.0,-0.0,-0.0,2494,3515,0,11,-13
1,0.19,33594,410.08,410.25,0.17,19.1,19.1,0.0,0.0,-0.0,-0.0,2482,3504,0,11,-15
2,0.36,33592,410.06,410.25,0.20,21.8,21.8,0.0,0.0,-0.0,-0.0,2457,3478,0,12,-17
3,0.52,33593,410.07,410.25,0.18,20.4,20.5,0.0,0.0,-0.0,-0.0,2469,3491,0,12,-16
4,0.68,33593,410.07,410.25,0.18,20.4,20.5,0.0,0.0,-0.1,-0.0,2469,3490,0,12,-16
5,0.76,33593,410.07,410.25,0.18,20.4,20.5,0.0,0.0,-0.1,-0.0,2469,3490,0,12,-16
6,0.92,33593,410.07,410.25,0.18,20.4,20.5,0.0,-0.0,-0.1,-0.0,2469,3495,0,12,-16
7,1.08,33593,410.07,410.25,0.18,20.4,20.5,0.0,0.0,-0.1,-0.0,2469,3493,0,12,-16
8,1.24,33594,410.08,410.25,0.17,19.0,19.1,0.0,-0.0,-0.1,-0.0,2482,3508,0,11,-14
9,1.32,33593,410.07,410.25,0.17,19.0,19.1,0.0,-0.0,-0.1,-0.0,2469,3493,0,11,-15
10,1.49,33594,410.08,410.25,0.16,17.6,17.7,0.0,-0.0,-0.1,-0.0,2482,3507,0,11,-13
11,1.65,33594,410.08,410.25,0.16,17.6,17.7,0.0,-0.0,-0.1,-0.0,2482,3508,0,11,-13
12,1.81,33598,410.13,410.25,0.11,12.1,12.3,0.0,-0.0,-0.2,-0.0,2532,3562,0,8,-9
13,1.89,33599,410.14,410.25,0.10,10.7,10.9,0.0,-0.0,-0.2,-0.0,2544,3576,0,7,-7
14,2.05,33598,410.13,410.24,0.11,12.1,12.3,0.0,-0.0,-0.2,-0.0,2532,3562,0,8,-9
15,2.21,33600,410.16,410.24,0.09,9.4,9.5,0.0,-0.0,-0.2,-0.0,2557,3590,0,6,-6
16,2.38,33601,410.17,410.24,0.07,8.0,8.2,0.0,-0.0,-0.2,-0.0,2569,3603,0,6,-5
17,2.46,33601,410.17,410.24,0.07,8.0,8.2,0.0,-0.0,-0.2,-0.0,2569,3597,0,6,-5
18,2.62,33601,410.17,410.24,0.07,7.9,8.2,0.0,-0.0,-0.2,-0.0,2569,3598,0,6,-5
19,2.78,33603,410.19,410.24,0.05,5.2,5.5,0.0,-0.0,-0.2,-0.0,2594,3624,0,4,-3
20,2.95,33603,410.19,410.24,0.05,5.2,5.5,0.0,-0.0,-0.3,-0.0,2594,3621,0,4,-3
21,3.11,33605,410.22,410.24,0.02,2.4,2.7,0.0,-0.0,-0.3,-0.0,2619,3649,0,2,-2
22,3.19,33604,410.21,410.24,0.04,3.8,4.1,0.0,-0.0,-0.3,-0.0,2607,3636,0,3,-2
23,3.36,33603,410.19,410.24,0.05,5.2,5.5,0.0,-0.0,-0.3,-0.0,2594,3621,0,4,-3
24,3.52,33601,410.17,410.23,0.06,6.5,6.8,0.0,0.0,-0.3,-0.0,2569,3590,0,4,-4
25,3.61,33602,410.18,410.23,0.05,5.1,5.5,0.0,0.0,-0.3,-0.0,2582,3604,0,4,-3
26,3.77,33602,410.18,410.23,0.05,5.1,5.5,0.0,0.0,-0.3,-0.0,2582,3602,0,4,-3
27,3.93,33604,410.21,410.23,0.02,2.4,2.7,0.0,-0.0,-0.4,-0.0,2607,3631,0,2,-2
28,4.09,33603,410.19,410.23,0.04,3.7,4.1,0.0,0.0,-0.4,-0.0,2594,3618,0,3,-2
29,4.26,33604,410.21,410.23,0.02,2.3,2.7,0.0,-0.0,-0.4,-0.0,2607,3634,0,2,-1
30,4.34,33604,410.21,410.23,0.02,2.3,2.7,0.0,-0.0,-0.4,-0.0,2607,3634,0,2,-1
31,4.50,33600,410.16,410.22,0.07,7.8,8.2,0.0,0.0,-0.4,-0.0,2557,3576,0,5,-5
32,4.67,33600,410.16,410.22,0.06,6.4,6.8,0.0,0.0,-0.5,-0.0,2557,3576,0,4,-4
33,4.76,33600,410.16,410.22,0.06,6.4,6.8,0.0,0.0,-0.5,-0.0,2557,3576,0,4,-4
34,4.92,33602,410.18,410.22,0.04,3.7,4.1,0.0,0.0,-0.4,-0.0,2582,3603,0,3,-2
35,5.09,33601,410.17,410.22,0.05,5.0,5.5,0.0,0.0,-0.5,-0.0,2569,3590,0,3,-3
36,5.18,33601,410.17,410.22,0.05,4.9,5.5,0.0,-0.0,-0.5,-0.0,2569,3595,0,3,-3
37,5.34,33599,410.14,410.21,0.07,7.7,8.2,0.0,0.0,-0.5,-0.0,2544,3567,0,5,-5
38,5.51,33599,410.14,410.21,0.07,7.7,8.2,0.0,0.0,-0.5,-0.0,2544,3567,0,5,-5
39,5.67,33598,410.13,410.21,0.07,7.6,8.2,0.0,0.0,-0.5,-0.0,2532,3550,0,5,-6
40,5.75,33598,410.13,410.21,0.07,7.7,8.2,0.0,0.0,-0.5,-0.0,2532,3552,0,5,-6
41,5.91,33598,410.13,410.21,0.07,7.7,8.2,0.0,0.0,-0.5,-0.0,2532,3552,0,5,-6
42,6.09,33599,410.14,410.20,0.06,6.3,6.8,0.0,-0.0,-0.6,-0.0,2544,3568,0,4,-4
43,6.17,33598,410.13,410.20,0.07,7.6,8.2,0.0,0.0,-0.6,-0.0,2532,3554,0,5,-5
44,6.35,33596,410.11,410.20,0.10,10.3,10.9,0.0,0.0,-0.6,-0.0,2507,3528,0,6,-8
45,6.51,33593,410.07,410.20,0.12,13.0,13.6,0.0,0.0,-0.6,-0.0,2469,3486,0,7,-10
46,6.60,33592,410.06,410.20,0.13,14.4,15.0,0.0,0.0,-0.6,-0.0,2457,3472,0,8,-11
47,6.77,33592,410.06,410.19,0.13,14.4,15.0,0.0,0.0,-0.6,-0.0,2457,3471,0,8,-11
48,6.94,33590,410.03,410.19,0.16,17.1,17.7,0.0,0.0,-0.7,-0.0,2432,3447,0,9,-14
49,7.10,33590,410.03,410.19,0.16,17.1,17.7,0.0,0.0,-0.6,-0.0,2432,3452,0,9,-14
50,7.18,33591,410.05,410.19,0.13,14.4,15.0,0.0,0.0,-0.6,-0.0,2444,3465,0,8,-11
51,7.34,33591,410.05,410.18,0.13,14.4,15.0,0.0,0.0,-0.6,-0.0,2444,3467,0,8,-11
52,7.50,33589,410.02,410.18,0.16,17.1,17.7,0.0,0.0,-0.6,-0.0,2419,3442,0,9,-14
53,7.67,33589,410.02,410.18,0.16,17.1,17.7,0.0,0.0,-0.7,-0.0,2419,3442,0,9,-14
54,7.75,33591,410.05,410.17,0.13,14.3,15.0,0.0,-0.0,-0.7,-0.0,2444,3470,0,8,-11
55,7.91,33590,410.03,410.17,0.13,14.3,15.0,0.0,0.0,-0.7,-0.0,2432,3454,0,8,-12
56,8.07,33589,410.02,410.17,0.15,15.6,16.4,0.0,0.0,-0.8,-0.0,2419,3440,0,8,-13
57,8.23,33588,410.01,410.17,0.16,17.0,17.7,0.0,0.0,-0.7,-0.0,2407,3429,0,9,-14
58,8.32,33588,410.01,410.16,0.16,16.9,17.7,0.0,0.0,-0.9,-0.0,2407,3429,0,9,-14
59,8.48,33591,410.05,410.16,0.11,11.5,12.3,0.0,-0.0,-0.7,-0.0,2444,3469,0,6,-9
60,8.64,33591,410.05,410.16,0.11,11.5,12.3,0.0,-0.0,-0.7,-0.0,2444,3471,0,6,-9
61,8.80,33591,410.05,410.15,0.11,11.5,12.3,0.0,-0.0,-0.8,-0.0,2444,3471,0,6,-9
62,8.88,33590,410.03,410.15,0.12,12.8,13.6,0.0,-0.0,-0.8,-0.0,2432,3459,0,7,-10
63,9.05,33590,410.03,410.15,0.11,11.5,12.3,0.0,-0.0,-0.8,-0.0,2432,3457,0,6,-9
64,9.21,33592,410.06,410.14,0.09,8.7,9.5,0.0,-0.0,-0.9,-0.0,2457,3483,0,5,-7
65,9.38,33593,410.07,410.14,0.07,7.3,8.2,0.0,-0.0,-0.8,-0.0,2469,3496,0,4,-6
66,9.47,33593,410.07,410.14,0.06,5.9,6.8,0.0,-0.0,-0.9,-0.0,2469,3496,0,3,-5
67,9.64,33593,410.07,410.13,0.06,6.0,6.8,0.0,-0.0,-0.8,-0.0,2469,3497,0,4,-5
68,9.80,33593,410.07,410.13,0.06,6.0,6.8,0.0,-0.0,-0.9,-0.0,2469,3496,0,3,-5
69,9.88,33593,410.07,410.13,0.06,5.9,6.8,0.0,-0.0,-0.9,-0.0,2469,3494,0,3,-5
70,10.04,33592,410.06,410.12,0.06,5.9,6.8,0.0,-0.0,-0.9,-0.0,2457,3479,0,3,-5
71,10.21,33594,410.08,410.12,0.04,3.1,4.1,0.0,-0.0,-1.0,-0.0,2482,3508,0,2,-2
72,10.38,33595,410.10,410.12,0.02,1.8,2.7,0.0,-0.0,-1.0,-0.0,2494,3521,0,1,-1
73,10.47,33594,410.08,410.11,0.02,1.7,2.7,0.0,-0.0,-1.0,-0.0,2482,3508,0,1,-1
74,10.63,33594,410.08,410.11,0.02,1.7,2.7,0.0,-0.0,-1.0,-0.0,2482,3509,0,1,-1
75,10.80,33597,410.12,410.10,-0.01,-2.3,-1.4,0.0,-0.0,-1.0,-0.0,2519,1501,0,-2,2
76,10.96,33595,410.10,410.10,0.00,-1.0,0.0,0.0,0.0,-1.0,-0.0,2494,1467,0,-1,1
77,11.04,33595,410.10,410.10,0.00,-1.1,0.0,0.0,-0.0,-1.1,-0.0,2494,1470,0,-1,1
78,11.21,33595,410.10,410.09,0.00,-1.0,0.0,0.0,-0.0,-1.0,-0.0,2494,1473,0,-1,1
79,11.37,33593,410.07,410.09,0.01,0.2,1.4,0.0,0.0,-1.1,-0.0,2469,3486,0,0,0
80,11.46,33593,410.07,410.09,0.01,0.2,1.4,0.0,0.0,-1.1,-0.0,2469,3486,0,0,0
81,11.62,33594,410.08,410.08,0.00,-1.1,0.0,0.0,0.0,-1.1,-0.0,2482,1456,0,-1,1
82,11.80,33595,410.10,410.08,-0.02,-3.9,-2.7,0.0,-0.0,-1.1,-0.0,2494,1470,0,-2,3
83,11.89,33595,410.10,410.07,-0.02,-3.9,-2.7,0.0,-0.0,-1.2,-0.0,2494,1470,0,-2,3
84,12.04,33592,410.06,410.07,0.01,0.3,1.4,0.0,0.0,-1.1,-0.0,2457,3480,0,0,0
85,12.21,33591,410.05,410.06,0.01,0.2,1.4,0.0,0.0,-1.1,-0.0,2444,3465,0,0,0
86,12.37,33592,410.06,410.06,0.00,-1.1,0.0,0.0,0.0,-1.1,-0.0,2457,1430,0,-1,1
87,12.46,33592,410.06,410.06,0.00,-1.2,0.0,0.0,0.0,-1.2,-0.0,2457,1428,0,-1,1
88,12.62,33593,410.07,410.05,-0.02,-3.8,-2.7,0.0,-0.0,-1.1,-0.0,2469,1446,0,-2,3
89,12.79,33593,410.07,410.05,-0.02,-3.9,-2.7,0.0,-0.0,-1.2,-0.0,2469,1448,0,-2,3
90,12.95,33594,410.08,410.04,-0.05,-6.6,-5.5,0.0,-0.0,-1.2,-0.0,2482,1463,0,-4,5
91,13.04,33594,410.08,410.04,-0.05,-6.7,-5.5,0.0,-0.0,-1.3,-0.0,2482,1461,0,-4,5
92,13.20,33593,410.07,410.03,-0.04,-5.3,-4.1,0.0,-0.0,-1.2,-0.0,2469,1446,0,-3,4
93,13.36,33593,410.07,410.03,-0.05,-6.6,-5.5,0.0,-0.0,-1.2,-0.0,2469,1445,0,-4,5
94,13.53,33592,410.06,410.02,-0.04,-5.4,-4.1,0.0,-0.0,-1.3,-0.0,2457,1431,0,-3,4
95,13.61,33592,410.06,410.02,-0.04,-5.2,-4.1,0.0,0.0,-1.1,-0.0,2457,1430,0,-3,4
96,13.76,33592,410.06,410.01,-0.05,-6.7,-5.5,0.0,-0.0,-1.2,-0.0,2457,1431,0,-4,5
97,13.93,33591,410.05,410.01,-0.04,-5.4,-4.1,0.0,0.0,-1.3,-0.0,2444,1417,0,-3,4
98,14.09,33591,410.05,410.00,-0.05,-6.8,-5.5,0.0,-0.0,-1.3,-0.0,2444,1418,0,-4,5
99,14.18,33591,410.05,410.00,-0.05,-6.9,-5.5,0.0,-0.0,-1.4,-0.0,2444,1418,0,-4,5
100,14.33,33591,410.05,409.99,-0.05,-6.7,-5.5,0.0,0.0,-1.3,-0.0,2444,1419,0,-4,5
101,14.49,33589,410.02,409.99,-0.04,-5.4,-4.1,0.0,0.0,-1.3,-0.0,2419,1392,0,-3,4
102,14.65,33588,410.01,409.98,-0.02,-4.0,-2.7,0.0,0.0,-1.3,-0.0,2407,1379,0,-2,3
103,14.74,33588,410.01,409.98,-0.04,-5.5,-4.1,0.0,0.0,-1.4,-0.0,2407,1378,0,-3,5
104,14.91,33589,410.02,409.97,-0.05,-6.8,-5.5,0.0,0.0,-1.4,-0.0,2419,1392,0,-4,6
105,15.07,33590,410.03,409.97,-0.07,-9.5,-8.2,0.0,-0.0,-1.4,-0.0,2432,1406,0,-5,8
106,15.23,33591,410.05,409.96,-0.09,-10.9,-9.5,0.0,-0.0,-1.4,-0.0,2444,1425,0,-6,9
107,15.33,33590,410.03,409.96,-0.07,-9.7,-8.2,0.0,-0.0,-1.5,-0.0,2432,1411,0,-5,8
108,15.50,33589,410.02,409.95,-0.07,-9.6,-8.2,0.0,-0.0,-1.4,-0.0,2419,1395,0,-5,8
109,15.66,33588,410.01,409.94,-0.06,-8.3,-6.8,0.0,-0.0,-1.5,-0.0,2407,1381,0,-4,7
110,15.74,33588,410.01,409.94,-0.07,-9.6,-8.2,0.0,0.0,-1.4,-0.0,2407,1380,0,-5,8
