Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33573,409.83,410.25,0.43,12.8,12.8,0.0,0.0,-0.0,-0.0,2219,3243,0,3,-12
1,0.19,33572,409.81,410.25,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2207,3228,0,3,-12
2,0.35,33572,409.81,410.25,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2207,3228,0,3,-12
3,0.51,33572,409.81,410.25,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2207,3229,0,3,-12
4,0.67,33573,409.83,410.25,0.43,12.8,12.8,0.0,0.0,-0.0,-0.0,2219,3243,0,3,-12
5,0.75,33573,409.83,410.25,0.43,12.8,12.8,0.0,-0.0,-0.0,-0.0,2219,3245,0,3,-12
6,0.91,33571,409.80,410.25,0.45,13.5,13.5,0.0,0.0,-0.0,-0.0,2194,3217,0,3,-13
7,1.07,33571,409.80,410.25,0.45,13.5,13.5,0.0,0.0,-0.0,-0.0,2194,3216,0,3,-13
8,1.23,33572,409.81,410.25,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2207,3230,0,3,-12
9,1.39,33572,409.81,410.25,0.43,12.8,12.8,0.0,0.0,-0.0,-0.0,2207,3229,0,3,-12
10,1.47,33573,409.83,410.25,0.42,12.5,12.5,0.0,-0.0,-0.0,-0.0,2219,3246,0,3,-12
11,1.63,33573,409.83,410.25,0.42,12.5,12.5,0.0,-0.0,-0.0,-0.0,2219,3246,0,3,-12
12,1.79,33573,409.83,410.25,0.42,12.5,12.5,0.0,-0.0,-0.0,-0.0,2219,3245,0,3,-12
13,1.95,33571,409.80,410.25,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2194,3216,0,3,-12
14,2.03,33571,409.80,410.24,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2194,3216,0,3,-12
15,2.19,33573,409.83,410.24,0.42,12.5,12.5,0.0,0.0,-0.0,-0.0,2219,3243,0,3,-12
16,2.35,33573,409.83,410.24,0.42,12.5,12.5,0.0,0.0,-0.0,-0.0,2219,3243,0,3,-12
17,2.51,33574,409.84,410.24,0.40,12.1,12.1,0.0,-0.0,-0.0,-0.0,2232,3261,0,3,-11
18,2.67,33573,409.83,410.24,0.42,12.5,12.5,0.0,-0.0,-0.0,-0.0,2219,3246,0,3,-12
19,2.76,33572,409.81,410.24,0.43,12.8,12.8,0.0,0.0,-0.0,-0.0,2207,3229,0,3,-12
20,2.92,33571,409.80,410.24,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2194,3215,0,3,-12
21,3.08,33571,409.80,410.24,0.44,13.2,13.2,0.0,0.0,-0.0,-0.0,2194,3215,0,3,-12
22,3.24,33573,409.83,410.24,0.42,12.5,12.5,0.0,0.0,-0.0,-0.0,2219,3243,0,3,-12
23,3.40,33573,409.83,410.24,0.40,12.1,12.1,0.0,-0.0,-0.0,-0.0,2219,3245,0,3,-11
24,3.48,33573,409.83,410.23,0.40,12.1,12.1,0.0,-0.0,-0.0,-0.0,2219,3246,0,3,-11
