Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33598,410.13,410.25,0.12,13.6,13.6,0.0,0.0,-0.0,-0.0,2532,3556,0,9,-10
1,0.20,33598,410.13,410.25,0.12,13.6,13.6,0.0,-0.0,-0.0,-0.0,2532,3558,0,9,-10
2,0.37,33599,410.14,410.25,0.11,12.2,12.3,0.0,-0.0,-0.0,-0.0,2544,3571,0,8,-9
3,0.53,33596,410.11,410.25,0.15,16.3,16.4,0.0,0.0,-0.0,-0.0,2507,3530,0,10,-12
4,0.61,33598,410.13,410.25,0.12,13.6,13.6,0.0,-0.0,-0.0,-0.0,2532,3558,0,9,-10
5,0.78,33600,410.16,410.25,0.10,10.9,10.9,0.0,-0.0,-0.0,-0.0,2557,3584,0,7,-7
6,0.95,33599,410.14,410.25,0.11,12.2,12.3,0.0,-0.0,-0.1,-0.0,2544,3569,0,8,-9
7,1.11,33600,410.16,410.25,0.10,10.8,10.9,0.0,-0.0,-0.1,-0.0,2557,3585,0,7,-7
8,1.19,33600,410.16,410.25,0.10,10.8,10.9,0.0,-0.0,-0.1,-0.0,2557,3587,0,7,-7
9,1.36,33600,410.16,410.25,0.09,9.5,9.5,0.0,-0.0,-0.1,-0.0,2557,3582,0,6,-7
10,1.52,33599,410.14,410.25,0.10,10.8,10.9,0.0,0.0,-0.1,-0.0,2544,3567,0,7,-8
11,1.68,33600,410.16,410.25,0.09,9.4,9.5,0.0,-0.0,-0.1,-0.0,2557,3582,0,6,-6
12,1.76,33601,410.17,410.25,0.07,8.1,8.2,0.0,-0.0,-0.1,-0.0,2569,3594,0,6,-5
13,1.93,33598,410.13,410.25,0.11,12.2,12.3,0.0,0.0,-0.1,-0.0,2532,3553,0,8,-9
14,2.10,33597,410.12,410.24,0.12,13.5,13.6,0.0,0.0,-0.1,-0.0,2519,3539,0,9,-10
15,2.18,33597,410.12,410.24,0.12,13.5,13.6,0.0,0.0,-0.1,-0.0,2519,3540,0,9,-10
16,2.33,33601,410.17,410.24,0.07,8.0,8.2,0.0,-0.0,-0.1,-0.0,2569,3594,0,6,-5
17,2.49,33599,410.14,410.24,0.10,10.8,10.9,0.0,0.0,-0.1,-0.0,2544,3565,0,7,-8
18,2.65,33599,410.14,410.24,0.10,10.8,10.9,0.0,-0.0,-0.2,-0.0,2544,3571,0,7,-8
19,2.82,33599,410.14,410.24,0.10,10.7,10.9,0.0,-0.0,-0.2,-0.0,2544,3571,0,7,-8
20,2.89,33599,410.14,410.24,0.10,10.8,10.9,0.0,0.0,-0.2,-0.0,2544,3565,0,7,-8
21,3.05,33598,410.13,410.24,0.11,12.1,12.3,0.0,0.0,-0.2,-0.0,2532,3554,0,8,-9
22,3.22,33596,410.11,410.24,0.13,14.8,15.0,0.0,0.0,-0.2,-0.0,2507,3527,0,9,-11
23,3.38,33595,410.10,410.24,0.15,16.2,16.4,0.0,0.0,-0.2,-0.0,2494,3512,0,10,-12
24,3.53,33596,410.11,410.23,0.12,13.4,13.6,0.0,0.0,-0.2,-0.0,2507,3527,0,8,-10
25,3.62,33596,410.11,410.23,0.12,13.4,13.6,0.0,0.0,-0.2,-0.0,2507,3526,0,8,-10
26,3.78,33596,410.11,410.23,0.12,13.4,13.6,0.0,-0.0,-0.2,-0.0,2507,3531,0,8,-10
27,3.94,33596,410.11,410.23,0.12,13.4,13.6,0.0,-0.0,-0.2,-0.0,2507,3533,0,8,-10
28,4.09,33594,410.08,410.23,0.15,16.1,16.4,0.0,0.0,-0.2,-0.0,2482,3504,0,10,-12
29,4.19,33594,410.08,410.23,0.15,16.1,16.4,0.0,0.0,-0.3,-0.0,2482,3503,0,10,-12
30,4.34,33594,410.08,410.23,0.15,16.1,16.4,0.0,0.0,-0.3,-0.0,2482,3503,0,10,-12
31,4.50,33593,410.07,410.22,0.16,17.5,17.7,0.0,0.0,-0.3,-0.0,2469,3488,0,10,-14
32,4.66,33593,410.07,410.22,0.15,16.1,16.4,0.0,0.0,-0.3,-0.0,2469,3490,0,9,-12
33,4.83,33590,410.03,410.22,0.18,20.1,20.5,0.0,0.0,-0.3,-0.0,2432,3450,0,11,-16
34,4.92,33590,410.03,410.22,0.18,20.1,20.5,0.0,0.0,-0.3,-0.0,2432,3449,0,11,-16
35,5.07,33591,410.05,410.22,0.17,18.8,19.1,0.0,0.0,-0.3,-0.0,2444,3465,0,10,-15
36,5.24,33594,410.08,410.22,0.13,14.7,15.0,0.0,-0.0,-0.3,-0.0,2482,3507,0,9,-11
37,5.32,33596,410.11,410.21,0.11,11.9,12.3,0.0,-0.0,-0.3,-0.0,2507,3536,0,8,-9
38,5.49,33594,410.08,410.21,0.13,14.7,15.0,0.0,-0.0,-0.3,-0.0,2482,3512,0,9,-11
39,5.65,33594,410.08,410.21,0.12,13.3,13.6,0.0,-0.0,-0.3,-0.0,2482,3511,0,8,-10
40,5.81,33595,410.10,410.21,0.11,11.9,12.3,0.0,-0.0,-0.4,-0.0,2494,3521,0,7,-9
41,5.90,33595,410.10,410.21,0.11,11.9,12.3,0.0,-0.0,-0.4,-0.0,2494,3520,0,7,-9
42,6.06,33594,410.08,410.20,0.12,13.3,13.6,0.0,-0.0,-0.4,-0.0,2482,3506,0,8,-10
43,6.23,33596,410.11,410.20,0.10,10.5,10.9,0.0,-0.0,-0.4,-0.0,2507,3534,0,7,-8
44,6.39,33595,410.10,410.20,0.10,10.5,10.9,0.0,-0.0,-0.4,-0.0,2494,3519,0,6,-8
45,6.48,33595,410.10,410.20,0.10,10.5,10.9,0.0,-0.0,-0.4,-0.0,2494,3518,0,6,-8
46,6.64,33597,410.12,410.19,0.07,7.7,8.2,0.0,-0.0,-0.4,-0.0,2519,3548,0,5,-6
47,6.81,33597,410.12,410.19,0.07,7.8,8.2,0.0,-0.0,-0.4,-0.0,2519,3546,0,5,-6
48,6.89,33594,410.08,410.19,0.11,11.8,12.3,0.0,0.0,-0.4,-0.0,2482,3503,0,7,-9
49,7.06,33595,410.10,410.19,0.10,10.5,10.9,0.0,0.0,-0.5,-0.0,2494,3518,0,6,-8
50,7.24,33596,410.11,410.18,0.07,7.7,8.2,0.0,-0.0,-0.4,-0.0,2507,3532,0,5,-6
51,7.39,33596,410.11,410.18,0.07,7.7,8.2,0.0,0.0,-0.4,-0.0,2507,3530,0,5,-6
52,7.47,33595,410.10,410.18,0.09,9.1,9.5,0.0,0.0,-0.5,-0.0,2494,3515,0,6,-7
53,7.64,33597,410.12,410.18,0.06,6.3,6.8,0.0,-0.0,-0.5,-0.0,2519,3548,0,4,-5
54,7.82,33594,410.08,410.17,0.09,9.0,9.5,0.0,0.0,-0.5,-0.0,2482,3503,0,5,-7
55,7.91,33593,410.07,410.17,0.10,10.4,10.9,0.0,0.0,-0.5,-0.0,2469,3488,0,6,-8
56,8.08,33596,410.11,410.17,0.06,6.3,6.8,0.0,-0.0,-0.5,-0.0,2507,3531,0,4,-5
57,8.25,33595,410.10,410.16,0.07,7.7,8.2,0.0,-0.0,-0.5,-0.0,2494,3518,0,5,-6
58,8.33,33595,410.10,410.16,0.07,7.7,8.2,0.0,0.0,-0.5,-0.0,2494,3515,0,5,-6
59,8.48,33595,410.10,410.16,0.06,6.3,6.8,0.0,-0.0,-0.5,-0.0,2494,3519,0,4,-5
60,8.65,33594,410.08,410.16,0.07,7.7,8.2,0.0,-0.0,-0.5,-0.0,2482,3506,0,5,-6
61,8.74,33593,410.07,410.15,0.09,9.0,9.5,0.0,0.0,-0.6,-0.0,2469,3488,0,5,-7
62,8.91,33593,410.07,410.15,0.09,9.1,9.5,0.0,0.0,-0.5,-0.0,2469,3490,0,5,-7
63,9.07,33596,410.11,410.15,0.04,3.5,4.1,0.0,-0.0,-0.5,-0.0,2507,3532,0,2,-3
64,9.24,33593,410.07,410.14,0.07,7.6,8.2,0.0,0.0,-0.6,-0.0,2469,3490,0,4,-6
65,9.33,33593,410.07,410.14,0.07,7.5,8.2,0.0,0.0,-0.6,-0.0,2469,3491,0,4,-6
66,9.49,33594,410.08,410.14,0.05,4.9,5.5,0.0,-0.0,-0.6,-0.0,2482,3507,0,3,-4
67,9.65,33594,410.08,410.13,0.05,4.8,5.5,0.0,0.0,-0.6,-0.0,2482,3504,0,3,-4
68,9.82,33591,410.05,410.13,0.09,8.9,9.5,0.0,0.0,-0.6,-0.0,2444,3460,0,5,-7
69,9.91,33591,410.05,410.13,0.09,8.9,9.5,0.0,0.0,-0.7,-0.0,2444,3465,0,5,-7
70,10.07,33593,410.07,410.12,0.05,4.9,5.5,0.0,-0.0,-0.6,-0.0,2469,3493,0,3,-4
71,10.22,33591,410.05,410.12,0.07,7.6,8.2,0.0,0.0,-0.6,-0.0,2444,3461,0,4,-6
72,10.31,33590,410.03,410.12,0.09,8.9,9.5,0.0,0.0,-0.7,-0.0,2432,3449,0,5,-7
73,10.48,33592,410.06,410.11,0.05,4.8,5.5,0.0,-0.0,-0.7,-0.0,2457,3483,0,3,-4
74,10.65,33593,410.07,410.11,0.04,3.4,4.1,0.0,-0.0,-0.7,-0.0,2469,3493,0,2,-3
75,10.74,33593,410.07,410.11,0.04,3.4,4.1,0.0,-0.0,-0.7,-0.0,2469,3493,0,2,-3
76,10.90,33591,410.05,410.10,0.06,6.2,6.8,0.0,-0.0,-0.6,-0.0,2444,3468,0,3,-5
77,11.07,33591,410.05,410.10,0.05,4.8,5.5,0.0,-0.0,-0.7,-0.0,2444,3469,0,3,-4
78,11.23,33588,410.01,410.09,0.09,8.8,9.5,0.0,0.0,-0.7,-0.0,2407,3425,0,4,-7
