Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33586,409.99,410.25,0.27,13.4,13.4,0.0,-0.0,-0.0,-0.0,2382,3409,0,6,-11
1,0.19,33587,410.00,410.25,0.26,12.8,12.8,0.0,-0.0,-0.0,-0.0,2394,3420,0,6,-11
2,0.35,33587,410.00,410.25,0.26,12.8,12.8,0.0,-0.0,-0.0,-0.0,2394,3420,0,6,-11
3,0.51,33584,409.96,410.25,0.29,14.6,14.6,0.0,0.0,-0.0,-0.0,2357,3380,0,6,-13
4,0.67,33586,409.99,410.25,0.27,13.4,13.4,0.0,0.0,-0.0,-0.0,2382,3406,0,6,-11
5,0.76,33586,409.99,410.25,0.27,13.4,13.4,0.0,0.0,-0.0,-0.0,2382,3406,0,6,-11
6,0.92,33584,409.96,410.25,0.29,14.6,14.6,0.0,0.0,-0.0,-0.0,2357,3377,0,6,-13
7,1.09,33585,409.97,410.25,0.28,14.0,14.0,0.0,-0.0,-0.0,-0.0,2369,3394,0,6,-12
8,1.25,33585,409.97,410.25,0.28,14.0,14.0,0.0,-0.0,-0.0,-0.0,2369,3394,0,6,-12
9,1.33,33583,409.95,410.25,0.29,14.6,14.6,0.0,0.0,-0.0,-0.0,2344,3363,0,6,-13
10,1.50,33583,409.95,410.25,0.29,14.6,14.6,0.0,0.0,-0.0,-0.0,2344,3364,0,6,-13
11,1.66,33585,409.97,410.25,0.27,13.4,13.4,0.0,-0.0,-0.0,-0.0,2369,3395,0,6,-11
12,1.83,33585,409.97,410.25,0.27,13.4,13.4,0.0,0.0,-0.0,-0.0,2369,3391,0,6,-11
13,1.90,33585,409.97,410.25,0.27,13.4,13.4,0.0,-0.0,-0.0,-0.0,2369,3393,0,6,-11
14,2.06,33586,409.99,410.24,0.26,12.8,12.8,0.0,-0.0,-0.0,-0.0,2382,3411,0,6,-11
15,2.23,33585,409.97,410.24,0.27,13.4,13.4,0.0,-0.0,-0.0,-0.0,2369,3396,0,6,-11
16,2.38,33587,410.00,410.24,0.24,12.2,12.2,0.0,-0.0,-0.0,-0.0,2394,3421,0,6,-10
17,2.47,33584,409.96,410.24,0.28,14.0,14.0,0.0,0.0,-0.0,-0.0,2357,3379,0,6,-12
18,2.63,33580,409.91,410.24,0.33,16.5,16.5,0.0,0.0,-0.0,-0.0,2307,3322,0,6,-15
19,2.79,33582,409.94,410.24,0.31,15.3,15.3,0.0,0.0,-0.0,-0.0,2332,3352,0,6,-13
20,2.96,33582,409.94,410.24,0.31,15.3,15.3,0.0,0.0,-0.0,-0.0,2332,3350,0,6,-13
21,3.04,33583,409.95,410.24,0.29,14.6,14.6,0.0,0.0,-0.0,-0.0,2344,3362,0,6,-13
22,3.20,33585,409.97,410.24,0.27,13.4,13.4,0.0,-0.0,-0.0,-0.0,2369,3398,0,6,-11
23,3.36,33587,410.00,410.24,0.24,12.2,12.2,0.0,-0.0,-0.0,-0.0,2394,3427,0,6,-10
24,3.52,33586,409.99,410.23,0.24,12.2,12.2,0.0,-0.0,-0.0,-0.0,2382,3412,0,6,-10
25,3.68,33586,409.99,410.23,0.24,12.2,12.2,0.0,-0.0,-0.0,-0.0,2382,3411,0,6,-10
