Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33597,410.12,410.25,0.13,11.2,11.2,0.0,-0.0,-0.0,-0.0,2519,3546,0,7,-8
1,0.19,33597,410.12,410.25,0.13,11.2,11.2,0.0,-0.0,-0.0,-0.0,2519,3545,0,7,-8
2,0.35,33595,410.10,410.25,0.16,13.3,13.3,0.0,0.0,-0.0,-0.0,2494,3513,0,8,-10
3,0.52,33597,410.12,410.25,0.13,11.2,11.2,0.0,0.0,-0.0,-0.0,2519,3541,0,7,-8
4,0.61,33598,410.13,410.25,0.12,10.2,10.2,0.0,-0.0,-0.1,-0.0,2532,3558,0,7,-7
5,0.78,33596,410.11,410.25,0.15,12.2,12.3,0.0,0.0,-0.1,-0.0,2507,3530,0,8,-9
6,0.94,33595,410.10,410.25,0.16,13.2,13.3,0.0,0.0,-0.1,-0.0,2494,3515,0,8,-10
7,1.10,33594,410.08,410.25,0.17,14.2,14.3,0.0,0.0,-0.1,-0.0,2482,3505,0,8,-11
8,1.18,33596,410.11,410.25,0.15,12.2,12.3,0.0,0.0,-0.1,-0.0,2507,3530,0,8,-9
9,1.34,33596,410.11,410.25,0.13,11.1,11.2,0.0,0.0,-0.1,-0.0,2507,3528,0,7,-8
10,1.51,33595,410.10,410.25,0.15,12.1,12.3,0.0,-0.0,-0.1,-0.0,2494,3518,0,7,-9
11,1.67,33596,410.11,410.25,0.13,11.1,11.2,0.0,-0.0,-0.1,-0.0,2507,3534,0,7,-8
12,1.75,33596,410.11,410.25,0.13,11.1,11.2,0.0,-0.0,-0.2,-0.0,2507,3534,0,7,-8
13,1.91,33596,410.11,410.25,0.13,11.1,11.2,0.0,0.0,-0.2,-0.0,2507,3528,0,7,-8
14,2.07,33596,410.11,410.24,0.13,11.1,11.2,0.0,-0.0,-0.2,-0.0,2507,3536,0,7,-8
15,2.23,33595,410.10,410.24,0.15,12.1,12.3,0.0,0.0,-0.2,-0.0,2494,3516,0,7,-9
16,2.39,33593,410.07,410.24,0.17,14.1,14.3,0.0,0.0,-0.2,-0.0,2469,3488,0,8,-11
17,2.47,33591,410.05,410.24,0.20,16.1,16.4,0.0,0.0,-0.2,-0.0,2444,3460,0,9,-13
18,2.64,33591,410.05,410.24,0.20,16.1,16.4,0.0,0.0,-0.2,-0.0,2444,3460,0,9,-13
19,2.80,33594,410.08,410.24,0.16,13.0,13.3,0.0,0.0,-0.3,-0.0,2482,3504,0,8,-10
20,2.89,33596,410.11,410.24,0.13,11.0,11.2,0.0,-0.0,-0.3,-0.0,2507,3533,0,7,-8
21,3.05,33595,410.10,410.24,0.15,12.0,12.3,0.0,-0.0,-0.3,-0.0,2494,3521,0,7,-9
22,3.22,33594,410.08,410.24,0.16,13.0,13.3,0.0,-0.0,-0.3,-0.0,2482,3510,0,8,-10
23,3.39,33594,410.08,410.24,0.15,12.0,12.3,0.0,-0.0,-0.3,-0.0,2482,3510,0,7,-9
24,3.47,33592,410.06,410.23,0.17,14.0,14.3,0.0,0.0,-0.3,-0.0,2457,3478,0,8,-11
25,3.63,33593,410.07,410.23,0.16,13.0,13.3,0.0,0.0,-0.3,-0.0,2469,3492,0,8,-10
26,3.80,33593,410.07,410.23,0.16,13.0,13.3,0.0,0.0,-0.3,-0.0,2469,3490,0,8,-10
27,3.97,33593,410.07,410.23,0.16,12.9,13.3,0.0,0.0,-0.3,-0.0,2469,3492,0,8,-10
28,4.05,33593,410.07,410.23,0.16,12.9,13.3,0.0,0.0,-0.4,-0.0,2469,3491,0,7,-10
29,4.21,33594,410.08,410.23,0.15,11.9,12.3,0.0,-0.0,-0.4,-0.0,2482,3509,0,7,-9
30,4.38,33593,410.07,410.23,0.16,12.9,13.3,0.0,0.0,-0.4,-0.0,2469,3491,0,7,-10
31,4.46,33593,410.07,410.22,0.16,12.9,13.3,0.0,0.0,-0.4,-0.0,2469,3493,0,8,-10
32,4.63,33597,410.12,410.22,0.10,7.8,8.2,0.0,-0.0,-0.4,-0.0,2519,3549,0,5,-6
33,4.80,33595,410.10,410.22,0.12,9.8,10.2,0.0,-0.0,-0.4,-0.0,2494,3519,0,6,-7
34,4.89,33596,410.11,410.22,0.11,8.7,9.2,0.0,-0.0,-0.5,-0.0,2507,3534,0,5,-6
35,5.05,33595,410.10,410.22,0.12,9.8,10.2,0.0,-0.0,-0.4,-0.0,2494,3521,0,6,-7
36,5.22,33593,410.07,410.22,0.15,11.8,12.3,0.0,0.0,-0.5,-0.0,2469,3492,0,7,-9
37,5.39,33591,410.05,410.21,0.17,13.8,14.3,0.0,0.0,-0.5,-0.0,2444,3461,0,8,-11
38,5.48,33592,410.06,410.21,0.16,12.8,13.3,0.0,0.0,-0.5,-0.0,2457,3476,0,7,-10
39,5.65,33593,410.07,410.21,0.13,10.7,11.2,0.0,0.0,-0.5,-0.0,2469,3489,0,6,-8
40,5.82,33594,410.08,410.21,0.12,9.7,10.2,0.0,0.0,-0.5,-0.0,2482,3505,0,6,-7
41,5.90,33592,410.06,410.21,0.15,11.8,12.3,0.0,0.0,-0.5,-0.0,2457,3480,0,7,-9
42,6.07,33594,410.08,410.20,0.12,9.7,10.2,0.0,-0.0,-0.5,-0.0,2482,3510,0,6,-7
43,6.24,33594,410.08,410.20,0.12,9.7,10.2,0.0,-0.0,-0.6,-0.0,2482,3509,0,6,-7
44,6.39,33594,410.08,410.20,0.11,8.6,9.2,0.0,-0.0,-0.6,-0.0,2482,3506,0,5,-7
45,6.48,33594,410.08,410.20,0.11,8.6,9.2,0.0,-0.0,-0.6,-0.0,2482,3506,0,5,-7
46,6.65,33593,410.07,410.19,0.12,9.6,10.2,0.0,-0.0,-0.6,-0.0,2469,3493,0,6,-7
47,6.81,33594,410.08,410.19,0.11,8.6,9.2,0.0,-0.0,-0.6,-0.0,2482,3506,0,5,-7
48,6.90,33595,410.10,410.19,0.10,7.5,8.2,0.0,-0.0,-0.7,-0.0,2494,3520,0,5,-6
49,7.07,33597,410.12,410.19,0.07,5.5,6.1,0.0,-0.0,-0.7,-0.0,2519,3548,0,4,-4
50,7.24,33595,410.10,410.18,0.09,6.4,7.2,0.0,-0.0,-0.7,-0.0,2494,3521,0,4,-5
51,7.33,33594,410.08,410.18,0.10,7.5,8.2,0.0,-0.0,-0.7,-0.0,2482,3508,0,5,-6
52,7.49,33594,410.08,410.18,0.10,7.5,8.2,0.0,-0.0,-0.7,-0.0,2482,3506,0,5,-6
53,7.67,33594,410.08,410.18,0.10,7.5,8.2,0.0,0.0,-0.7,-0.0,2482,3503,0,4,-6
54,7.74,33594,410.08,410.17,0.10,7.5,8.2,0.0,0.0,-0.6,-0.0,2482,3502,0,4,-6
55,7.91,33591,410.05,410.17,0.12,9.5,10.2,0.0,0.0,-0.7,-0.0,2444,3462,0,5,-8
56,8.07,33591,410.05,410.17,0.12,9.5,10.2,0.0,0.0,-0.7,-0.0,2444,3463,0,5,-8
57,8.23,33592,410.06,410.17,0.11,8.5,9.2,0.0,0.0,-0.7,-0.0,2457,3478,0,5,-7
58,8.32,33592,410.06,410.16,0.11,8.4,9.2,0.0,0.0,-0.8,-0.0,2457,3478,0,5,-7
59,8.48,33592,410.06,410.16,0.10,7.4,8.2,0.0,-0.0,-0.8,-0.0,2457,3483,0,4,-6
60,8.63,33592,410.06,410.16,0.10,7.4,8.2,0.0,-0.0,-0.8,-0.0,2457,3482,0,4,-6
61,8.79,33591,410.05,410.15,0.11,8.4,9.2,0.0,-0.0,-0.8,-0.0,2444,3468,0,5,-7
62,8.94,33592,410.06,410.15,0.09,6.4,7.2,0.0,-0.0,-0.8,-0.0,2457,3481,0,4,-5
63,9.03,33592,410.06,410.15,0.09,6.2,7.2,0.0,-0.0,-0.9,-0.0,2457,3481,0,4,-5
64,9.19,33593,410.07,410.14,0.07,5.3,6.1,0.0,-0.0,-0.8,-0.0,2469,3495,0,3,-4
65,9.35,33591,410.05,410.14,0.10,7.4,8.2,0.0,-0.0,-0.8,-0.0,2444,3468,0,4,-6
66,9.51,33590,410.03,410.14,0.10,7.3,8.2,0.0,0.0,-0.8,-0.0,2432,3453,0,4,-6
67,9.60,33591,410.05,410.13,0.09,6.2,7.2,0.0,0.0,-0.9,-0.0,2444,3466,0,3,-5
68,9.78,33592,410.06,410.13,0.07,5.2,6.1,0.0,0.0,-0.9,-0.0,2457,3479,0,3,-4
69,9.94,33590,410.03,410.13,0.10,7.3,8.2,0.0,-0.0,-0.9,-0.0,2432,3457,0,4,-6
70,10.10,33592,410.06,410.12,0.06,4.2,5.1,0.0,-0.0,-0.9,-0.0,2457,3481,0,2,-3
71,10.19,33592,410.06,410.12,0.06,4.1,5.1,0.0,-0.0,-1.0,-0.0,2457,3484,0,2,-3
72,10.35,33592,410.06,410.12,0.06,4.2,5.1,0.0,0.0,-0.9,-0.0,2457,3479,0,2,-3
73,10.51,33590,410.03,410.11,0.07,5.2,6.1,0.0,-0.0,-0.9,-0.0,2432,3456,0,3,-4
74,10.67,33589,410.02,410.11,0.09,6.2,7.2,0.0,0.0,-1.0,-0.0,2419,3440,0,3,-5
75,10.75,33589,410.02,410.11,0.09,6.2,7.2,0.0,0.0,-1.0,-0.0,2419,3438,0,3,-5
76,10.91,33589,410.02,410.10,0.07,5.1,6.1,0.0,0.0,-1.0,-0.0,2419,3438,0,3,-4
77,11.09,33591,410.05,410.10,0.05,3.1,4.1,0.0,-0.0,-1.0,-0.0,2444,3468,0,2,-2
78,11.17,33592,410.06,410.09,0.04,2.0,3.1,0.0,-0.0,-1.1,-0.0,2457,3484,0,1,-2
79,11.34,33592,410.06,410.09,0.02,1.1,2.0,0.0,-0.0,-0.9,-0.0,2457,3485,0,1,-1
80,11.51,33592,410.06,410.08,0.02,0.9,2.0,0.0,-0.0,-1.1,-0.0,2457,3486,0,1,-1
81,11.67,33592,410.06,410.08,0.02,1.0,2.0,0.0,-0.0,-1.1,-0.0,2457,3484,0,1,-1
82,11.74,33592,410.06,410.08,0.02,1.1,2.0,0.0,-0.0,-1.0,-0.0,2457,3482,0,1,-1
83,11.91,33589,410.02,410.07,0.05,3.0,4.1,0.0,0.0,-1.0,-0.0,2419,3439,0,2,-2
84,12.07,33590,410.03,410.07,0.04,2.0,3.1,0.0,0.0,-1.1,-0.0,2432,3453,0,1,-2
85,12.23,33590,410.03,410.06,0.02,0.9,2.0,0.0,0.0,-1.1,-0.0,2432,3453,0,0,-1
86,12.32,33590,410.03,410.06,0.02,0.8,2.0,0.0,0.0,-1.2,-0.0,2432,3453,0,0,-1
87,12.47,33592,410.06,410.06,0.00,-1.1,0.0,0.0,-0.0,-1.1,-0.0,2457,1437,0,-1,1
88,12.65,33592,410.06,410.05,-0.01,-2.2,-1.0,0.0,-0.0,-1.2,-0.0,2457,1436,0,-1,2
89,12.82,33593,410.07,410.04,-0.02,-3.3,-2.0,0.0,-0.0,-1.2,-0.0,2469,1450,0,-2,3
90,12.91,33593,410.07,410.04,-0.02,-3.3,-2.0,0.0,-0.0,-1.3,-0.0,2469,1450,0,-2,3
91,13.07,33591,410.05,410.04,-0.01,-2.2,-1.0,0.0,-0.0,-1.2,-0.0,2444,1422,0,-1,2
92,13.22,33591,410.05,410.03,-0.01,-2.2,-1.0,0.0,0.0,-1.2,-0.0,2444,1418,0,-1,2
93,13.38,33592,410.06,410.03,-0.04,-4.3,-3.1,0.0,-0.0,-1.2,-0.0,2457,1433,0,-2,3
94,13.46,33590,410.03,410.02,-0.01,-2.2,-1.0,0.0,0.0,-1.2,-0.0,2432,1403,0,-1,2
95,13.63,33590,410.03,410.02,-0.01,-2.4,-1.0,0.0,0.0,-1.3,-0.0,2432,1406,0,-1,2
96,13.79,33591,410.05,410.01,-0.04,-4.3,-3.1,0.0,-0.0,-1.2,-0.0,2444,1420,0,-2,3
97,13.94,33589,410.02,410.01,-0.01,-2.2,-1.0,0.0,0.0,-1.2,-0.0,2419,1391,0,-1,2
98,14.03,33589,410.02,410.00,-0.01,-2.3,-1.0,0.0,0.0,-1.3,-0.0,2419,1390,0,-1,2
99,14.18,33589,410.02,410.00,-0.02,-3.3,-2.0,0.0,-0.0,-1.2,-0.0,2419,1393,0,-2,3
100,14.35,33591,410.05,409.99,-0.05,-5.4,-4.1,0.0,-0.0,-1.3,-0.0,2444,1422,0,-3,4
101,14.52,33592,410.06,409.99,-0.07,-7.4,-6.1,0.0,-0.0,-1.3,-0.0,2457,1437,0,-4,6
102,14.60,33592,410.06,409.98,-0.07,-7.4,-6.1,0.0,-0.0,-1.3,-0.0,2457,1437,0,-4,6
103,14.76,33591,410.05,409.98,-0.07,-7.5,-6.1,0.0,-0.0,-1.3,-0.0,2444,1423,0,-4,6
104,14.94,33592,410.06,409.97,-0.09,-8.6,-7.2,0.0,-0.0,-1.5,-0.0,2457,1436,0,-5,7
105,15.03,33592,410.06,409.97,-0.10,-9.7,-8.2,0.0,-0.0,-1.5,-0.0,2457,1435,0,-6,8
106,15.20,33592,410.06,409.96,-0.10,-9.5,-8.2,0.0,-0.0,-1.4,-0.0,2457,1433,0,-5,7
107,15.36,33593,410.07,409.95,-0.12,-11.6,-10.2,0.0,-0.0,-1.4,-0.0,2469,1448,0,-7,9
108,15.53,33592,410.06,409.95,-0.11,-10.8,-9.2,0.0,-0.0,-1.6,-0.0,2457,1435,0,-6,8
109,15.62,33590,410.03,409.94,-0.09,-8.7,-7.2,0.0,0.0,-1.6,-0.0,2432,1405,0,-5,7
110,15.80,33591,410.05,409.94,-0.11,-10.6,-9.2,0.0,-0.0,-1.4,-0.0,2444,1420,0,-6,8
111,15.89,33593,410.07,409.93,-0.13,-12.9,-11.2,0.0,-0.0,-1.6,-0.0,2469,1447,0,-8,10
112,16.06,33591,410.05,409.93,-0.12,-11.6,-10.2,0.0,0.0,-1.4,-0.0,2444,1417,0,-6,9
113,16.23,33590,410.03,409.92,-0.11,-10.7,-9.2,0.0,0.0,-1.5,-0.0,2432,1405,0,-6,9
114,16.38,33592,410.06,409.91,-0.15,-13.8,-12.3,0.0,-0.0,-1.5,-0.0,2457,1436,0,-8,11
115,16.46,33592,410.06,409.91,-0.15,-13.6,-12.3,0.0,-0.0,-1.4,-0.0,2457,1434,0,-8,11
116,16.63,33591,410.05,409.90,-0.15,-13.9,-12.3,0.0,0.0,-1.6,-0.0,2444,1417,0,-8,11
117,16.80,33589,410.02,409.90,-0.12,-11.8,-10.2,0.0,-0.0,-1.5,-0.0,2419,1393,0,-6,10
118,16.89,33589,410.02,409.89,-0.13,-13.0,-11.2,0.0,-0.0,-1.7,-0.0,2419,1393,0,-7,11
119,17.05,33592,410.06,409.89,-0.17,-15.8,-14.3,0.0,-0.0,-1.5,-0.0,2457,1433,0,-9,12
120,17.22,33589,410.02,409.88,-0.15,-13.8,-12.3,0.0,-0.0,-1.5,-0.0,2419,1392,0,-7,11
121,17.38,33591,410.05,409.87,-0.17,-15.9,-14.3,0.0,-0.0,-1.6,-0.0,2444,1420,0,-9,13
122,17.46,33592,410.06,409.87,-0.20,-18.0,-16.4,0.0,-0.0,-1.6,-0.0,2457,1438,0,-10,14
123,17.63,33588,410.01,409.86,-0.15,-13.9,-12.3,0.0,0.0,-1.7,-0.0,2407,1380,0,-7,12
124,17.81,33588,410.01,409.85,-0.16,-14.9,-13.3,0.0,-0.0,-1.6,-0.0,2407,1380,0,-7,12
125,17.90,33589,410.02,409.85,-0.17,-16.1,-14.3,0.0,-0.0,-1.8,-0.0,2419,1395,0,-8,13
126,18.07,33586,409.99,409.84,-0.15,-13.9,-12.3,0.0,0.0,-1.6,-0.0,2382,1351,0,-6,12
127,18.24,33585,409.97,409.83,-0.13,-13.0,-11.2,0.0,0.0,-1.7,-0.0,2369,1336,0,-6,11
128,18.31,33586,409.99,409.83,-0.16,-14.8,-13.3,0.0,-0.0,-1.5,-0.0,2382,1355,0,-7,13
129,18.48,33586,409.99,409.82,-0.16,-14.9,-13.3,0.0,0.0,-1.6,-0.0,2382,1355,0,-7,13
130,18.63,33583,409.95,409.82,-0.13,-12.9,-11.2,0.0,0.0,-1.6,-0.0,2344,1313,0,-5,11
131,18.81,33583,409.95,409.81,-0.15,-14.1,-12.3,0.0,-0.0,-1.8,-0.0,2344,1317,0,-6,12
132,18.90,33584,409.96,409.80,-0.16,-15.3,-13.3,0.0,-0.0,-2.0,-0.0,2357,1331,0,-7,13
133,19.07,33582,409.94,409.79,-0.15,-14.0,-12.3,0.0,0.0,-1.7,-0.0,2332,1302,0,-6,12
134,19.15,33581,409.92,409.79,-0.13,-13.0,-11.2,0.0,0.0,-1.8,-0.0,2319,1287,0,-5,12
