Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33599,410.14,410.25,0.11,9.0,9.2,0.0,-0.0,-0.0,-0.2,2544,3574,0,6,-6
1,0.21,33603,410.19,410.25,0.06,4.9,5.1,0.0,-0.0,-0.0,-0.2,2594,3629,0,4,-3
2,0.37,33602,410.18,410.25,0.07,5.9,6.1,0.0,-0.0,-0.0,-0.2,2582,3611,0,4,-4
3,0.53,33599,410.14,410.25,0.11,9.0,9.2,0.0,-0.0,-0.0,-0.2,2544,3569,0,6,-6
4,0.62,33599,410.14,410.25,0.11,8.9,9.2,0.0,-0.0,-0.1,-0.2,2544,3570,0,6,-6
5,0.78,33597,410.12,410.25,0.13,11.0,11.2,0.0,0.0,-0.1,-0.2,2519,3536,0,7,-8
6,0.94,33596,410.11,410.25,0.15,12.0,12.3,0.0,0.0,-0.1,-0.2,2507,3521,0,7,-9
7,1.10,33598,410.13,410.25,0.12,9.9,10.2,0.0,0.0,-0.1,-0.2,2532,3552,0,6,-7
8,1.19,33597,410.12,410.25,0.13,10.9,11.2,0.0,0.0,-0.1,-0.2,2519,3540,0,7,-8
9,1.35,33599,410.14,410.25,0.10,7.9,8.2,0.0,-0.0,-0.1,-0.2,2544,3568,0,5,-6
10,1.52,33600,410.16,410.25,0.09,6.8,7.2,0.0,-0.0,-0.1,-0.2,2557,3587,0,5,-5
11,1.68,33598,410.13,410.25,0.11,8.9,9.2,0.0,-0.0,-0.1,-0.2,2532,3557,0,6,-6
12,1.76,33599,410.14,410.25,0.10,7.9,8.2,0.0,-0.0,-0.1,-0.2,2544,3569,0,5,-6
13,1.92,33596,410.11,410.25,0.13,10.9,11.2,0.0,0.0,-0.2,-0.2,2507,3530,0,7,-8
14,2.09,33597,410.12,410.24,0.12,9.9,10.2,0.0,0.0,-0.2,-0.2,2519,3537,0,6,-7
15,2.25,33595,410.10,410.24,0.15,11.9,12.3,0.0,0.0,-0.2,-0.2,2494,3513,0,7,-9
16,2.34,33594,410.08,410.24,0.16,12.8,13.3,0.0,0.0,-0.2,-0.2,2482,3500,0,8,-10
17,2.50,33594,410.08,410.24,0.16,12.9,13.3,0.0,0.0,-0.2,-0.2,2482,3500,0,8,-10
18,2.67,33591,410.05,410.24,0.20,15.9,16.4,0.0,0.0,-0.2,-0.2,2444,3461,0,9,-13
19,2.75,33592,410.06,410.24,0.18,14.8,15.3,0.0,0.0,-0.3,-0.2,2457,3473,0,8,-12
20,2.92,33594,410.08,410.24,0.16,12.8,13.3,0.0,0.0,-0.3,-0.2,2482,3505,0,8,-10
21,3.08,33594,410.08,410.24,0.16,12.8,13.3,0.0,0.0,-0.3,-0.2,2482,3505,0,8,-10
22,3.24,33592,410.06,410.24,0.18,14.9,15.3,0.0,0.0,-0.3,-0.2,2457,3480,0,8,-12
23,3.32,33591,410.05,410.24,0.20,15.9,16.4,0.0,0.0,-0.3,-0.2,2444,3468,0,9,-13
24,3.49,33591,410.05,410.23,0.18,14.8,15.3,0.0,0.0,-0.3,-0.2,2444,3467,0,8,-12
25,3.65,33588,410.01,410.23,0.22,17.9,18.4,0.0,0.0,-0.3,-0.2,2407,3419,0,9,-15
26,3.80,33589,410.02,410.23,0.21,16.9,17.4,0.0,0.0,-0.3,-0.2,2419,3438,0,9,-14
