Sample,Timestamp,Raw Encoder Reading,Measured Motor Steps,Target Motor Steps,Current Error,PID Control Signal,PID P Term,PID I Term,PID D Term,PID V Term,PID A Term,Measured Step Phase,Desired Step Phase,Phase Shift,Coil A Current,Coil B Current
0,0.04,33605,410.22,410.25,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2619,3643,0,3,-3
1,0.21,33603,410.19,410.25,0.06,6.8,6.8,0.0,0.0,-0.0,-0.0,2594,3614,0,5,-4
2,0.37,33605,410.22,410.25,0.04,4.1,4.1,0.0,-0.0,-0.0,-0.0,2619,3644,0,3,-3
3,0.53,33606,410.23,410.25,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2632,3659,0,2,-2
4,0.62,33603,410.19,410.25,0.06,6.8,6.8,0.0,0.0,-0.0,-0.0,2594,3616,0,5,-4
5,0.78,33603,410.19,410.25,0.06,6.8,6.8,0.0,0.0,-0.0,-0.0,2594,3617,0,5,-4
6,0.94,33606,410.23,410.25,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2632,3657,0,2,-2
7,1.10,33604,410.21,410.25,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2607,3630,0,4,-3
8,1.18,33604,410.21,410.25,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2607,3628,0,4,-3
9,1.34,33603,410.19,410.25,0.05,5.5,5.5,0.0,-0.0,-0.0,-0.0,2594,3620,0,4,-4
10,1.51,33604,410.21,410.25,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2607,3628,0,3,-3
11,1.67,33603,410.19,410.25,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2594,3616,0,4,-4
12,1.75,33603,410.19,410.25,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2594,3616,0,4,-4
13,1.91,33605,410.22,410.25,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2619,3646,0,2,-2
14,2.07,33605,410.22,410.24,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2619,3646,0,2,-2
15,2.23,33603,410.19,410.24,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2594,3618,0,4,-4
16,2.40,33604,410.21,410.24,0.04,4.1,4.1,0.0,-0.0,-0.0,-0.0,2607,3633,0,3,-3
17,2.48,33604,410.21,410.24,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2607,3629,0,3,-3
18,2.64,33603,410.19,410.24,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2594,3615,0,4,-4
19,2.80,33604,410.21,410.24,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2607,3631,0,3,-3
20,2.96,33603,410.19,410.24,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2594,3618,0,4,-4
21,3.04,33604,410.21,410.24,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2607,3631,0,3,-3
22,3.21,33603,410.19,410.24,0.05,5.5,5.5,0.0,0.0,-0.0,-0.0,2594,3618,0,4,-4
23,3.37,33605,410.22,410.24,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2619,3646,0,2,-2
24,3.53,33603,410.19,410.23,0.04,4.1,4.1,0.0,-0.0,-0.0,-0.0,2594,3618,0,3,-3
25,3.62,33604,410.21,410.23,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2607,3633,0,2,-2
26,3.79,33604,410.21,410.23,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2607,3631,0,2,-2
27,3.95,33603,410.19,410.23,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2594,3617,0,3,-3
28,4.03,33604,410.21,410.23,0.02,2.7,2.7,0.0,0.0,-0.0,-0.0,2607,3629,0,2,-2
29,4.19,33604,410.21,410.23,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2607,3632,0,2,-2
30,4.35,33605,410.22,410.23,0.01,1.4,1.4,0.0,0.0,-0.0,-0.0,2619,3642,0,1,-1
31,4.52,33605,410.22,410.22,0.01,1.4,1.4,0.0,-0.0,-0.0,-0.0,2619,3646,0,1,-1
32,4.61,33603,410.19,410.22,0.02,2.7,2.7,0.0,-0.0,-0.0,-0.0,2594,3618,0,2,-2
33,4.78,33603,410.19,410.22,0.02,2.7,2.7,0.0,0.0,-0.0,-0.0,2594,3617,0,2,-2
34,4.95,33602,410.18,410.22,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2582,3603,0,3,-3
35,5.03,33602,410.18,410.22,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2582,3601,0,3,-3
36,5.19,33603,410.19,410.22,0.02,2.7,2.7,0.0,0.0,-0.0,-0.0,2594,3615,0,2,-2
37,5.36,33602,410.18,410.21,0.04,4.1,4.1,0.0,0.0,-0.0,-0.0,2582,3606,0,3,-3
38,5.52,33604,410.21,410.21,0.01,1.4,1.4,0.0,-0.0,-0.0,-0.0,2607,3632,0,1,-1
39,5.61,33603,410.19,410.21,0.01,1.4,1.4,0.0,-0.0,-0.0,-0.0,2594,3620,0,1,-1
40,5.76,33603,410.19,410.21,0.01,1.4,1.4,0.0,-0.0,-0.0,-0.0,2594,3618,0,1,-1
